date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2021-05-27,2021,BAL,CHW,1.0,5.0,0,0,-4.0
2021-05-30,2021,BAL,CHW,1.0,3.0,0,0,-2.0
2021-05-31,2021,BAL,MIN,2.0,3.0,1,0,-1.0
2021-06-01,2021,BAL,MIN,7.0,4.0,1,1,3.0
2021-06-02,2021,BAL,MIN,6.0,3.0,1,1,3.0
2021-06-04,2021,BAL,CLE,3.0,1.0,1,1,2.0
2021-06-05,2021,BAL,CLE,4.0,10.0,1,0,-6.0
2021-06-06,2021,BAL,CLE,18.0,5.0,1,1,13.0
2021-06-08,2021,BAL,NYM,10.0,3.0,1,1,7.0
2021-06-09,2021,BAL,NYM,1.0,14.0,1,0,-13.0
2021-06-11,2021,BAL,TBR,2.0,4.0,0,0,-2.0
2021-06-12,2021,BAL,TBR,4.0,5.0,0,0,-1.0
2021-06-13,2021,BAL,TBR,1.0,7.0,0,0,-6.0
2021-06-14,2021,BAL,CLE,3.0,4.0,0,0,-1.0
2021-06-15,2021,BAL,CLE,2.0,7.0,0,0,-5.0
2021-06-16,2021,BAL,CLE,7.0,8.0,0,0,-1.0
2021-06-17,2021,BAL,CLE,3.0,10.0,0,0,-7.0
2021-06-18,2021,BAL,TOR,7.0,1.0,1,1,6.0
2021-06-19,2021,BAL,TOR,7.0,10.0,1,0,-3.0
2021-06-20,2021,BAL,TOR,4.0,7.0,1,0,-3.0
2021-06-21,2021,BAL,HOU,2.0,10.0,1,0,-8.0
2021-06-22,2021,BAL,HOU,1.0,3.0,1,0,-2.0
2021-06-23,2021,BAL,HOU,0.0,13.0,1,0,-13.0
2021-06-24,2021,BAL,TOR,0.0,9.0,0,0,-9.0
2021-06-25,2021,BAL,TOR,6.0,5.0,0,1,1.0
2021-06-26,2021,BAL,TOR,4.0,12.0,0,0,-8.0
2021-06-27,2021,BAL,TOR,2.0,5.0,0,0,-3.0
2021-06-28,2021,BAL,HOU,9.0,7.0,0,1,2.0
2021-06-29,2021,BAL,HOU,13.0,3.0,0,1,10.0
2021-06-30,2021,BAL,HOU,5.0,2.0,0,1,3.0
2021-07-02,2021,BAL,LAA,7.0,8.0,0,0,-1.0
2021-07-03,2021,BAL,LAA,1.0,4.0,0,0,-3.0
2021-07-04,2021,BAL,LAA,5.0,6.0,0,0,-1.0
2021-07-06,2021,BAL,TOR,7.0,5.0,1,1,2.0
2021-07-07,2021,BAL,TOR,2.0,10.0,1,0,-8.0
2021-07-09,2021,BAL,CHW,1.0,12.0,1,0,-11.0
2021-07-10,2021,BAL,CHW,3.0,8.0,1,0,-5.0
2021-07-11,2021,BAL,CHW,5.0,7.0,1,0,-2.0
2021-07-16,2021,BAL,KCR,2.0,9.0,0,0,-7.0
2021-07-17,2021,BAL,KCR,8.0,4.0,0,1,4.0
2021-07-18,2021,BAL,KCR,5.0,0.0,0,1,5.0
2021-07-19,2021,BAL,TBR,6.0,1.0,0,1,5.0
2021-07-20,2021,BAL,TBR,3.0,9.0,0,0,-6.0
2021-07-21,2021,BAL,TBR,4.0,5.0,0,0,-1.0
2021-07-23,2021,BAL,WSN,6.0,1.0,1,1,5.0
2021-07-24,2021,BAL,WSN,5.0,3.0,1,1,2.0
2021-07-25,2021,BAL,WSN,5.0,4.0,1,1,1.0
2021-07-27,2021,BAL,MIA,3.0,7.0,1,0,-4.0
2021-07-28,2021,BAL,MIA,8.0,7.0,1,1,1.0
2021-07-29,2021,BAL,DET,2.0,6.0,0,0,-4.0
2021-07-30,2021,BAL,DET,4.0,3.0,0,1,1.0
2021-07-31,2021,BAL,DET,5.0,2.0,0,1,3.0
2021-08-01,2021,BAL,DET,2.0,6.0,0,0,-4.0
2021-08-02,2021,BAL,NYY,7.0,1.0,0,1,6.0
2021-08-03,2021,BAL,NYY,1.0,13.0,0,0,-12.0
2021-08-04,2021,BAL,NYY,3.0,10.0,0,0,-7.0
2021-08-06,2021,BAL,TBR,6.0,10.0,1,0,-4.0
2021-08-07,2021,BAL,TBR,3.0,12.0,1,0,-9.0
2021-08-08,2021,BAL,TBR,6.0,9.0,1,0,-3.0
2021-08-10,2021,BAL,DET,4.0,9.0,1,0,-5.0
2021-08-11,2021,BAL,DET,2.0,5.0,1,0,-3.0
2021-08-12,2021,BAL,DET,4.0,6.0,1,0,-2.0
2021-08-13,2021,BAL,BOS,1.0,8.0,0,0,-7.0
2021-08-14,2021,BAL,BOS,2.0,16.0,0,0,-14.0
2021-08-15,2021,BAL,BOS,2.0,6.0,0,0,-4.0
2021-08-16,2021,BAL,TBR,2.0,9.0,0,0,-7.0
2021-08-17,2021,BAL,TBR,0.0,10.0,0,0,-10.0
2021-08-18,2021,BAL,TBR,4.0,8.0,0,0,-4.0
2021-08-19,2021,BAL,TBR,2.0,7.0,0,0,-5.0
2021-08-20,2021,BAL,ATL,0.0,3.0,1,0,-3.0
2021-08-21,2021,BAL,ATL,4.0,5.0,1,0,-1.0
2021-08-22,2021,BAL,ATL,1.0,3.0,1,0,-2.0
2021-08-24,2021,BAL,LAA,8.0,14.0,1,0,-6.0
2021-08-25,2021,BAL,LAA,10.0,6.0,1,1,4.0
2021-08-26,2021,BAL,LAA,13.0,1.0,1,1,12.0
2021-08-27,2021,BAL,TBR,3.0,6.0,1,0,-3.0
2021-08-28,2021,BAL,TBR,3.0,4.0,1,0,-1.0
2021-08-29,2021,BAL,TBR,8.0,12.0,1,0,-4.0
2021-08-30,2021,BAL,TOR,3.0,7.0,0,0,-4.0
2021-08-31,2021,BAL,TOR,4.0,2.0,0,1,2.0
2021-09-01,2021,BAL,TOR,4.0,5.0,0,0,-1.0
2021-09-03,2021,BAL,NYY,3.0,4.0,0,0,-1.0
2021-09-04,2021,BAL,NYY,4.0,3.0,0,1,1.0
2021-09-05,2021,BAL,NYY,8.0,7.0,0,1,1.0
2021-09-06,2021,BAL,KCR,2.0,3.0,1,0,-1.0
2021-09-07,2021,BAL,KCR,7.0,3.0,1,1,4.0
2021-09-08,2021,BAL,KCR,9.0,8.0,1,1,1.0
2021-09-09,2021,BAL,KCR,0.0,6.0,1,0,-6.0
2021-09-10,2021,BAL,TOR,6.0,3.0,1,1,3.0
2021-09-12,2021,BAL,TOR,7.0,22.0,1,0,-15.0
2021-09-14,2021,BAL,NYY,2.0,7.0,1,0,-5.0
2021-09-15,2021,BAL,NYY,3.0,4.0,1,0,-1.0
2021-09-16,2021,BAL,NYY,3.0,2.0,1,1,1.0
2021-09-17,2021,BAL,BOS,1.0,7.0,0,0,-6.0
2021-09-18,2021,BAL,BOS,3.0,9.0,0,0,-6.0
2021-09-19,2021,BAL,BOS,6.0,8.0,0,0,-2.0
2021-09-20,2021,BAL,PHI,2.0,0.0,0,1,2.0
2021-09-21,2021,BAL,PHI,2.0,3.0,0,0,-1.0
2021-09-22,2021,BAL,PHI,3.0,4.0,0,0,-1.0
2021-09-23,2021,BAL,TEX,3.0,0.0,1,1,3.0
2021-09-24,2021,BAL,TEX,5.0,8.0,1,0,-3.0
2021-09-25,2021,BAL,TEX,3.0,2.0,1,1,1.0
2021-09-26,2021,BAL,TEX,4.0,7.0,1,0,-3.0
2021-09-28,2021,BAL,BOS,4.0,2.0,1,1,2.0
2021-09-29,2021,BAL,BOS,0.0,6.0,1,0,-6.0
2021-09-30,2021,BAL,BOS,6.0,2.0,1,1,4.0
2021-10-01,2021,BAL,TOR,4.0,6.0,0,0,-2.0
2021-10-02,2021,BAL,TOR,1.0,10.0,0,0,-9.0
